"Timestamp","Geraldo Alckmin","João Amoêdo","Jair Bolsonaro","Guilherme Boulos","Ciro Gomes","Marina Silva","Fernando Haddad","Cabo Daciolo"
"2018/11/27 12:25:37 AM GMT-4","1","1","1","5","1","5","5","1"
"2018/11/27 12:26:15 AM GMT-4","3","4","1","2","3","5","2","2"
"2018/11/27 12:34:56 AM GMT-4","3","2","1","3","4","5","4","3"
"2018/11/27 1:01:48 AM GMT-4","1","3","1","2","1","5","1","2"
"2018/11/27 1:55:05 AM GMT-4","3","2","1","4","5","5","4","3"
"2018/11/27 3:57:43 AM GMT-4","1","2","1","3","3","5","2","3"
"2018/11/27 4:05:18 AM GMT-4","3","3","1","4","4","1","3","3"
"2018/11/27 4:22:05 AM GMT-4","1","1","1","1","1","5","1","1"
"2018/11/27 4:33:03 AM GMT-4","2","1","1","5","4","5","4","1"
"2018/11/27 4:56:11 AM GMT-4","3","4","2","4","3","2","3","3"
"2018/11/27 5:06:28 AM GMT-4","1","3","1","1","2","5","1","1"
"2018/11/27 5:35:10 AM GMT-4","4","2","1","3","5","3","3","3"
"2018/11/27 6:08:50 AM GMT-4","3","4","1","1","3","5","2","1"
"2018/11/27 7:32:42 AM GMT-4","3","3","1","2","4","4","3","2"
"2018/11/27 7:34:55 AM GMT-4","2","3","1","3","3","5","2","1"
"2018/11/27 8:25:01 AM GMT-4","1","2","1","3","3","3","4","1"
"2018/11/27 9:27:58 AM GMT-4","3","3","1","2","3","5","3","1"
"2018/11/27 9:52:41 AM GMT-4","1","5","1","1","1","1","2","3"
"2018/11/27 10:56:17 AM GMT-4","3","3","2","2","3","5","1","1"
"2018/11/27 1:33:19 PM GMT-4","1","5","1","1","5","1","1","5"
"2018/11/27 2:59:07 PM GMT-4","2","5","1","1","4","3","3","5"
"2018/11/27 3:21:45 PM GMT-4","2","4","1","4","3","5","3","1"
"2018/11/27 7:14:03 PM GMT-4","1","3","1","4","3","5","3","1"
"2018/11/27 7:37:59 PM GMT-4","2","1","1","3","3","5","3","2"
"2018/11/27 8:10:10 PM GMT-4","3","3","1","1","4","5","2","2"
"2018/11/27 8:24:30 PM GMT-4","1","2","1","3","3","2","3","3"
"2018/11/28 9:17:46 PM GMT-4","1","5","3","1","1","1","1","1"
